Vin,Vo,D1,D2,DT,Fs,Po,Ploss
450.00,638.58,0.70,0.30,0.00,25000.00,906.18,24.59610224
400.00,604.48,0.65,0.35,0.01,100000.00,1461.58,32.83016235
250.00,294.55,0.85,0.15,0.00,25000.00,578.41,4.792965385
200.00,234.81,0.85,0.15,0.03,25000.00,122.52,2.498604297
250.00,286.90,0.85,0.15,0.02,50000.00,274.38,6.187463128
200.00,321.98,0.60,0.40,0.01,100000.00,259.17,8.583605033
200.00,213.04,0.95,0.05,0.00,25000.00,181.54,2.386117353
350.00,356.94,0.95,0.05,0.02,100000.00,318.52,15.38865731
300.00,427.83,0.70,0.30,0.00,50000.00,457.61,9.777997693
250.00,311.99,0.80,0.20,0.00,100000.00,278.11,11.90815994
250.00,293.32,0.85,0.15,0.02,25000.00,245.82,3.544721022
350.00,465.22,0.75,0.25,0.01,25000.00,541.07,11.88800646
450.00,632.35,0.70,0.30,0.01,50000.00,1332.87,25.50327924
400.00,661.71,0.60,0.40,0.02,50000.00,1094.67,23.43097599
350.00,471.96,0.70,0.30,0.03,100000.00,890.97,24.11919363
400.00,663.31,0.60,0.40,0.00,100000.00,2933.21,46.48067004
250.00,417.28,0.60,0.40,0.00,25000.00,870.60,15.11078168
300.00,440.23,0.65,0.35,0.03,50000.00,553.71,11.84966816
350.00,537.18,0.65,0.35,0.00,50000.00,824.47,19.23399766
400.00,546.88,0.70,0.30,0.03,50000.00,854.50,16.7787063
300.00,427.54,0.70,0.30,0.00,100000.00,731.18,19.0587369
200.00,265.84,0.75,0.25,0.01,25000.00,176.68,4.345461406
200.00,361.12,0.55,0.45,0.00,25000.00,652.03,11.87953089
350.00,436.02,0.80,0.20,0.01,25000.00,760.46,9.767439469
350.00,465.17,0.75,0.25,0.02,25000.00,480.86,11.67705374
300.00,496.09,0.60,0.40,0.00,50000.00,2461.05,27.95182575
250.00,283.71,0.85,0.15,0.03,50000.00,229.97,6.301989822
200.00,215.17,0.90,0.10,0.03,25000.00,102.89,1.56780058
250.00,327.23,0.75,0.25,0.01,50000.00,1070.79,11.48070679
450.00,595.37,0.75,0.25,0.01,25000.00,1772.31,21.52200254
300.00,312.26,0.95,0.05,0.01,100000.00,325.01,13.80412993
300.00,515.84,0.55,0.45,0.03,50000.00,760.26,15.35223589
350.00,430.06,0.80,0.20,0.01,50000.00,1849.56,17.17811795
250.00,293.43,0.85,0.15,0.00,50000.00,430.51,5.992624555
200.00,203.95,0.95,0.05,0.02,100000.00,118.85,8.052299456
300.00,374.77,0.80,0.20,0.00,25000.00,312.12,6.571966134
400.00,492.21,0.80,0.20,0.01,50000.00,1615.14,19.58796085
200.00,221.41,0.90,0.10,0.00,100000.00,490.24,9.66633798
350.00,372.05,0.90,0.10,0.03,100000.00,307.60,15.43503195
400.00,486.26,0.80,0.20,0.02,50000.00,1576.32,18.48488528
350.00,528.59,0.65,0.35,0.01,100000.00,1397.02,30.65524883
400.00,570.26,0.70,0.30,0.01,100000.00,1083.97,27.99380043
450.00,521.77,0.85,0.15,0.01,25000.00,1088.96,13.23488084
350.00,486.35,0.70,0.30,0.03,25000.00,1182.70,15.50987989
300.00,348.27,0.85,0.15,0.00,100000.00,485.15,15.61836512
400.00,427.75,0.95,0.05,0.00,25000.00,522.77,7.445166121
350.00,563.57,0.60,0.40,0.01,100000.00,705.80,24.47376677
400.00,521.86,0.75,0.25,0.02,50000.00,680.84,11.98691417
250.00,460.81,0.55,0.45,0.00,100000.00,1061.71,19.67675507
200.00,360.61,0.55,0.45,0.00,25000.00,866.95,12.95857724
200.00,208.21,0.95,0.05,0.01,100000.00,108.38,7.939075135
250.00,262.55,0.95,0.05,0.00,50000.00,459.55,5.690276737
200.00,217.19,0.90,0.10,0.02,100000.00,117.93,7.623205445
350.00,478.23,0.70,0.30,0.03,50000.00,914.82,17.27087278
450.00,573.31,0.75,0.25,0.03,25000.00,3286.84,28.19363502
400.00,411.86,0.95,0.05,0.02,25000.00,484.65,5.077396223
400.00,630.88,0.60,0.40,0.03,25000.00,2653.40,36.44759662
250.00,415.20,0.60,0.40,0.03,25000.00,430.97,13.00606188
300.00,427.81,0.70,0.30,0.00,100000.00,522.91,18.19504941
300.00,325.77,0.90,0.10,0.02,50000.00,235.84,7.143904711
